,Home Team,Away team,Day,Stadium,City,State
0,NYY,HOU,2016-04-04,Yankee Stadium,New York,NY
1,NYY,HOU,2016-04-05,Yankee Stadium,New York,NY
2,NYY,HOU,2016-04-06,Yankee Stadium,New York,NY
3,NYY,HOU,2016-04-07,Yankee Stadium,New York,NY
4,MIL,HOU,2016-04-08,Miller Park,Milwaukee,WI
5,MIL,HOU,2016-04-09,Miller Park,Milwaukee,WI
6,MIL,HOU,2016-04-10,Miller Park,Milwaukee,WI
7,HOU,KC,2016-04-11,Minute Maid Park,Houston,TX
8,HOU,KC,2016-04-12,Minute Maid Park,Houston,TX
9,HOU,KC,2016-04-13,Minute Maid Park,Houston,TX
10,HOU,KC,2016-04-14,Minute Maid Park,Houston,TX
11,HOU,DET,2016-04-15,Minute Maid Park,Houston,TX
12,HOU,DET,2016-04-16,Minute Maid Park,Houston,TX
13,HOU,DET,2016-04-17,Minute Maid Park,Houston,TX
14,TEX,HOU,2016-04-19,Globe Life Park in Arlington,Arlington,TX
15,TEX,HOU,2016-04-20,Globe Life Park in Arlington,Arlington,TX
16,TEX,HOU,2016-04-21,Globe Life Park in Arlington,Arlington,TX
17,HOU,BOS,2016-04-22,Minute Maid Park,Houston,TX
18,HOU,BOS,2016-04-23,Minute Maid Park,Houston,TX
19,HOU,BOS,2016-04-24,Minute Maid Park,Houston,TX
20,SEA,HOU,2016-04-25,Safeco Field,Seattle,WA
21,SEA,HOU,2016-04-26,Safeco Field,Seattle,WA
22,SEA,HOU,2016-04-27,Safeco Field,Seattle,WA
23,OAK,HOU,2016-04-29,O.co Coliseum,Oakland,CA
24,OAK,HOU,2016-04-30,O.co Coliseum,Oakland,CA
25,OAK,HOU,2016-05-01,O.co Coliseum,Oakland,CA
26,HOU,MIN,2016-05-02,Minute Maid Park,Houston,TX
27,HOU,MIN,2016-05-03,Minute Maid Park,Houston,TX
28,HOU,MIN,2016-05-04,Minute Maid Park,Houston,TX
29,HOU,SEA,2016-05-05,Minute Maid Park,Houston,TX
30,HOU,SEA,2016-05-06,Minute Maid Park,Houston,TX
31,HOU,SEA,2016-05-07,Minute Maid Park,Houston,TX
32,HOU,SEA,2016-05-08,Minute Maid Park,Houston,TX
33,HOU,CLE,2016-05-09,Minute Maid Park,Houston,TX
34,HOU,CLE,2016-05-10,Minute Maid Park,Houston,TX
35,HOU,CLE,2016-05-11,Minute Maid Park,Houston,TX
36,BOS,HOU,2016-05-12,Fenway Park,Boston,MA
37,BOS,HOU,2016-05-13,Fenway Park,Boston,MA
38,BOS,HOU,2016-05-14,Fenway Park,Boston,MA
39,BOS,HOU,2016-05-15,Fenway Park,Boston,MA
40,CHW,HOU,2016-05-17,U.S. Cellular Field,Chicago,IL
41,CHW,HOU,2016-05-18,U.S. Cellular Field,Chicago,IL
42,CHW,HOU,2016-05-19,U.S. Cellular Field,Chicago,IL
43,HOU,TEX,2016-05-20,Minute Maid Park,Houston,TX
44,HOU,TEX,2016-05-21,Minute Maid Park,Houston,TX
45,HOU,TEX,2016-05-22,Minute Maid Park,Houston,TX
46,HOU,BAL,2016-05-24,Minute Maid Park,Houston,TX
47,HOU,BAL,2016-05-25,Minute Maid Park,Houston,TX
48,HOU,BAL,2016-05-26,Minute Maid Park,Houston,TX
49,LAA,HOU,2016-05-27,Angel Stadium of Anaheim,Anaheim,CA
50,LAA,HOU,2016-05-28,Angel Stadium of Anaheim,Anaheim,CA
51,LAA,HOU,2016-05-29,Angel Stadium of Anaheim,Anaheim,CA
52,ARI,HOU,2016-05-30,Chase Field,Phoenix,AZ
53,ARI,HOU,2016-05-31,Chase Field,Phoenix,AZ
54,HOU,ARI,2016-06-01,Minute Maid Park,Houston,TX
55,HOU,ARI,2016-06-02,Minute Maid Park,Houston,TX
56,HOU,OAK,2016-06-03,Minute Maid Park,Houston,TX
57,HOU,OAK,2016-06-04,Minute Maid Park,Houston,TX
58,HOU,OAK,2016-06-05,Minute Maid Park,Houston,TX
59,TEX,HOU,2016-06-06,Globe Life Park in Arlington,Arlington,TX
60,TEX,HOU,2016-06-07,Globe Life Park in Arlington,Arlington,TX
61,TEX,HOU,2016-06-08,Globe Life Park in Arlington,Arlington,TX
62,TEX,HOU,2016-06-09,Globe Life Park in Arlington,Arlington,TX
63,TB,HOU,2016-06-10,Tropicana Field,St. Petersburg,FL
64,TB,HOU,2016-06-11,Tropicana Field,St. Petersburg,FL
65,TB,HOU,2016-06-12,Tropicana Field,St. Petersburg,FL
66,STL,HOU,2016-06-14,Busch Stadium,St. Louis,MO
67,STL,HOU,2016-06-15,Busch Stadium,St. Louis,MO
68,HOU,CIN,2016-06-17,Minute Maid Park,Houston,TX
69,HOU,CIN,2016-06-18,Minute Maid Park,Houston,TX
70,HOU,CIN,2016-06-19,Minute Maid Park,Houston,TX
71,HOU,LAA,2016-06-20,Minute Maid Park,Houston,TX
